"# Backoff Power Limit Table (unit is 1 dBm, resolution level is ?0.5 dBm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch2,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch3,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch4,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch5,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch6,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch7,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch8,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
Ch9,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,12,12,12,12,15,12,12,12,12,12
